Feature,Date de début,Date de livraison,Description détaillée,Priorité,Responsable,Statut,Notes techniques,Type,Projet
"🔥 URGENT - Automatisation complète Make.com/N8N - Process A à Z","2025-01-XX","2025-02-XX","PRIORITÉ #1 - Permettre d'envoyer l'audio directement dans Make.com/N8N sans se connecter à la plateforme Agilotext. Process automatisé complet : Upload audio → Transcription → Compte-rendu → Webhook automatique. Authentification via API key (pas besoin de compte Agilotext). Créer endpoint API pour upload direct, webhook automatique vers Make.com à la fin, documentation API pour intégration. Tests end-to-end du process complet. FUSION des lignes 47 (Rollout) + 98 (Make.com/N8N) du backlog original.",🔥🔥🔥,"Nicolas (backend) + Florian (intégration)",À faire,"Endpoint API: /api/v1/sendAudioFromMake. Authentification: API key. Webhook: automatique à la fin transcription. Format: JSON avec jobId, status, transcriptUrl, summaryUrl. Documentation: créer doc spécifique Make.com.",Feature,Agilotext
"🔥 URGENT - Ajouter date dans transcription et compte-rendu","2025-01-XX","2025-02-XX","Ajouter la date d'aujourd'hui dans les transcriptions ET comptes-rendus téléchargés. Format visible dans les documents (en-tête). Tester avec TOUS les formats : PDF, Word, TXT, RTF, DOCX. Vérifier que la date s'affiche correctement dans tous les exports. Format suggéré: 'Date de transcription: DD/MM/YYYY' ou 'Transcrit le DD/MM/YYYY à HH:MM'. SÉPARÉ de la ligne 111 originale (qui mélangeait date + variables).",🔥🔥🔥,Nicolas,À faire,"Backend: ajouter date dans format de transcription (en-tête). Backend: ajouter date dans format de compte-rendu (en-tête). Tester: PDF, DOCX, DOC, RTF, TXT. Format: ISO 8601 ou DD/MM/YYYY selon préférence client.",Feature,Agilotext
"🔥 URGENT - Reformater documents PDF/Word au téléchargement","2025-01-XX","2025-02-XX","Améliorer le formatage professionnel des documents PDF et Word lors du téléchargement. Mise en forme : polices cohérentes, espacements, marges professionnelles. Inclure la date (voir tâche précédente). Formatage cohérent entre transcript et compte-rendu. Analyser le formatage actuel, créer templates professionnels, implémenter côté backend, tester avec différents contenus, vérifier compatibilité Word/PDF readers.",🔥🔥🔥,"Nicolas (backend) + Florian (frontend si nécessaire)",À faire,"Templates: créer templates LaTeX ou HTML pour PDF. Word: utiliser bibliothèque docx (Python) ou équivalent. Polices: Arial ou Times New Roman. Marges: 2.5cm. Espacement: 1.5 lignes. En-tête: date + titre. Pied de page: numéro de page.",Feature,Agilotext
"🔥 URGENT - Améliorer onboarding avec variables et WordBoost","2025-01-XX","2025-02-XX","Profiter de l'onboarding EXISTANT pour ajouter des variables. Demander Nom et Prénom lors de l'onboarding. Ajouter AUTOMATIQUEMENT au WordBoost pour éviter les fautes. Variables disponibles : Nom, Prénom, Société, Participants fréquents (plusieurs noms). Tester que les noms sont bien reconnus dans les transcripts. FUSION des lignes 66 + 84 du backlog original.",🔥🔥🔥,"Florian (frontend) + Nicolas (backend)",À faire,"Frontend: ajouter champs Nom/Prénom dans onboarding existant. Backend: API pour ajouter automatiquement au WordBoost. Format WordBoost: JSON avec termes + poids. Test: vérifier reconnaissance noms dans transcripts. Stockage: Memberstack custom fields ou base de données.",Feature,Agilotext
"🔥 URGENT - Feature: Ralentir l'audio pour améliorer transcription","2025-01-XX","2025-02-XX","Permettre de ralentir l'audio avant transcription (optionnel). TEST RÉUSSI: Audio avocat passé en 0.9 (10% moins vite) = PLUS DE MOTS dans le transcript. Option dans interface upload: 'Audio trop rapide ? Ralentir de 10%'. Améliore la précision de transcription pour les audio rapides. Créer paramètre playback_speed dans API (0.9 par défaut si activé), traiter audio à 0.9x avant transcription, tester avec différents types d'audio rapides, documenter amélioration précision.",🔥🔥🔥,Nicolas,À faire,"API: paramètre playback_speed (0.9 = 10% moins vite). Traitement: utiliser ffmpeg ou équivalent pour ralentir audio. Test validé: audio avocat → +mots dans transcript. Interface: checkbox 'Ralentir audio de 10%' dans upload. Documentation: ajouter dans FAQ.",Feature,Agilotext
"🔥 URGENT - Scoring AssemblyAI - Fiabilité des mots","2025-01-XX","2025-02-XX","Utiliser AssemblyAI pour scorer chaque mot (bien/pas bien, juste/conforme). Afficher le score de confiance dans l'interface (optionnel, masquable). Permettre de filtrer les mots avec faible score de confiance. Utile pour cas sensibles (avocats, médecins, etc.). Intégrer AssemblyAI scoring dans pipeline transcription, stocker scores par mot, afficher dans éditeur, créer filtre 'Afficher seulement mots avec score > X%', documenter utilisation. FUSION avec ligne 101 du backlog original.",🔥🔥🔥,Nicolas,À faire,"API AssemblyAI: utiliser endpoint confidence_score. Stockage: ajouter champ confidence_score par mot dans JSON transcript. Interface: afficher score en surbrillance (vert >80%, orange 60-80%, rouge <60%). Filtre: toggle 'Afficher seulement mots confiants (>X%)'. Documentation: guide utilisation scoring.",Feature,Agilotext
"🔥🔥🔥 URGENT - Feature: Remplacer/relancer plusieurs comptes-rendus différents","2025-01-XX","2025-02-XX","DEMANDE CLIENT CRITIQUE - Permettre de lancer plusieurs comptes-rendus avec DIFFÉRENTS modèles sur le même transcript. Actuellement impossible: si on a lancé un CR avec modèle 'classique', on ne peut que régénérer avec le même modèle. BESOIN: Dans l'éditeur, sur l'onglet compte-rendu, remplacer les questions IA par un sélecteur de modèles de compte-rendu. Permettre de choisir un autre modèle et relancer. POPUP DE CONFIRMATION OBLIGATOIRE: 'Attention, cela va remplacer le compte-rendu existant. Êtes-vous sûr ?' Le client veut tester sur une dizaine de réunions pour définir le format optimal. Format standardisé nécessaire. TOP PRIORITÉ selon échange client janvier 2025.",🔥🔥🔥,"Florian (frontend) + Nicolas (backend)",À faire,"Frontend: remplacer panneau questions IA par sélecteur modèles CR dans onglet compte-rendu. Backend: API pour relancer CR avec modèle différent (jobId + templateId). Popup: confirmation avant remplacement ('Attention, cela va remplacer le compte-rendu existant'). Interface: liste déroulante modèles disponibles. Test: relancer CR avec différents modèles sur même transcript. Calcul: coût supplémentaire à chaque régénération (mentionné client).",Feature,Agilotext
"🔥🔥🔥 URGENT - Script enregistreur sur serveur propre (inliner)","2025-01-XX","2025-02-XX","PROBLÈME CORS/Cross-scripting identifié avec client - Mettre le script d'enregistreur/upload sur notre propre serveur au lieu d'un script externe. Inliner le code du script d'upload dans notre code pour éviter problèmes de cross-scripting et CORS. Problème rencontré: client avec réseau sécurisé (Ministère Intérieur/Défense) ne peut pas charger scripts externes. Solution: reprendre le code du script d'upload, l'inliner dans notre code (GS), éviter références externes. Cela résoudra les problèmes de blocage upload fichiers et d'affichage transcriptions sur réseaux sécurisés. Juan a confirmé: 'Florian tu peux l'inliner c'est ça qu'il faut faire'.",🔥🔥🔥,Florian,À faire,"Script upload: reprendre code actuel. Inliner: intégrer directement dans code GS (pas de référence externe). Serveur: héberger sur notre propre serveur (agilotext.com). CORS: éviter problèmes cross-origin. Test: upload fichiers sur réseau sécurisé. Vérification: pas de scripts externes référencés.",Bug,Agilotext
"🟡 IMPORTANT - Documentation API - Finalisation","2025-01-XX","2025-01-XX (demain)","Finaliser documentation API : 2 versions (interne complète + client simplifiée). Version INTERNE: toutes sections. Version CLIENT: File/Status, Jobs, Download, UserPreferences uniquement (PAS génération tokens, login, prompts système). Format: Markdown (Nicolas édite) + HTML avec design Agilotext (Florian). Mise en ligne Webflow sécurisée par mot de passe. Voir BACKLOG_STRUCTURE.md pour détails.",🟡 IMPORTANT,"Florian (HTML) + Nicolas (validation Markdown)",En cours,"Markdown: structure respectant HTML existant. HTML: design Agilotext, navigation claire, exemples code. Webflow: page sécurisée par mot de passe. Sections client: File/Status, Jobs, Download, UserPreferences. Sections à exclure: génération tokens, login, prompts système.",Documentation,Agilotext
"🟡 IMPORTANT - Email à Isabelle - Problème sauvegarde","2025-01-XX","2025-01-XX (demain mi-journée)","Envoyer email professionnel à Isabelle expliquant l'incident disque (pas bug sauvegarde). Incident technique infrastructure stockage survenu juste avant snapshot sauvegarde. Snapshots disponibles: 2 par jour (matin + mi-journée). Récupération possible via provider (gratuite pour client). Corrections mises en place: vérification renforcée, sauvegarde auto 5min, bouton sauvegarder caché automatiquement. Réunion confirmée: mardi 25 novembre 15h30. Voir BACKLOG_STRUCTURE.md pour email complet.",🟡 IMPORTANT,Nicolas,En cours,"Email: ton professionnel, explication claire, proposition récupération. Job ID: 12h59 (à vérifier). Snapshots: demander à Znetwork (matin + mi-journée). Coût: ~17,30€ max (gratuit pour client). Réunion: confirmer mardi 25 nov 15h30.",Support,Agilotext
